"","post_username","post_ID","post_comment","message_ID","sentiment","DatetimeSF","DatetimeSG","DateSG","Hour","Dayofweek","wordcount","mean","vNegTerms","negTerms","posTerms","vPosTerms"
"1","Scott Woodman","4.71e+14","how is grab credit deducted if I use grab service in Thailand? thanks","879799792172006_880432942108691","neutral",2017-08-29 16:37:36,2017-08-30 08:37:36,"2017-8-30",8,3,13,2,0,0,1,0
"2","Charles Quitania","1.02e+16","Who can I talk to about a dispute of charges?","879799792172006_880218805463438","neutral",2017-08-29 07:25:42,2017-08-29 23:25:42,"2017-8-29",23,2,10,-1,0,1,0,0
"3","Chriz Larin","1.59e+15","Cherlin this is so you!","879799792172006_879809462171039","neutral",2017-08-28 11:26:49,2017-08-29 03:26:49,"2017-8-29",3,2,5,0,0,0,0,0
"4","Rachael Anne Goh","1.02e+16","Clement Tan","879799792172006_879926095492709","neutral",2017-08-28 15:56:55,2017-08-29 07:56:55,"2017-8-29",7,2,2,0,0,0,0,0
"5","Grab","2.3e+14","Hi Emms, do get in touch with us via pm and we will assist you asap.","878685998950052_881310682020917","neutral",2017-08-31 06:08:25,2017-08-31 22:08:25,"2017-8-31",22,4,16,0,0,0,0,0
"6","Kazuya Tann","1.53e+15","Lets talk about grab pay.   In Malaysia, for grab pay, RM 1 = 10 points (pts) So to get a Silver membership, you need 1000 pts, which means you need to spend RM100. (1000pts) For Gold membership, you need 3000 pts, which means you need to spend RM 300. (3000pts) For Platinum membership, you need 8000 pts, which means you need to spend RM800. (8000 pts)   So lets talk about Singapores grab pay.   In Singapore, for grab pay, SGD1 = 16pts  So to get a Silver membership, you need 3000 pts, which means you need to spend SGD187.50. (3000pts) For Gold membership, you need 9000 pts, which means you need to spend SGD562.50. (9000pts) For Platinum membership, you need 19000 pts, which means you need to spend SGD1187.50. (19000 pts)   I would have easily gotten platinum membership if I am in Malaysia. Sadly, I am not. Based in SG  Took grab for a year  Spend around 700 and sadly never will I get to Gold member or even platinum membership. I really hope that grab would do something about this. Maybe change the points system by letting us earn more points or maybe lower down the points for us to reach the membership. Thankyou.","878685998950052_880188012133184","neutral",2017-08-29 05:33:58,2017-08-29 21:33:58,"2017-8-29",21,2,205,-0.125,0,2,2,0
"7","Kazuya Tann","1.53e+15","i can't set up my grab pin what should i do","878685998950052_880333245451994","neutral",2017-08-29 12:47:01,2017-08-30 04:47:01,"2017-8-30",4,3,11,0,0,0,0,0
"8","Balkrishna Tripathi","1.02e+16","Congrats to the parents! Well done Alvinder Singh, you couldn't have done it any better..... There isn't any gift greater than HELP. Doing it for someone in need just makes it much more valuable.","878685998950052_879660188852633","positive",2017-08-28 03:58:03,2017-08-28 19:58:03,"2017-8-28",19,1,34,2.2,0,0,5,0
"9","Nur Khairunnisa","1.02e+16","Congrats for the both of you... It happen to me last 7 years.... gave birth in the car... not Grab but in my father's car.... it was so amazing... my mum who helped me to welcome my baby... ","878685998950052_879389095546409","positive",2017-08-27 16:44:01,2017-08-28 08:44:01,"2017-8-28",8,1,39,2.66666666666667,0,0,2,1
"10","Andrew Chua Emi","1.76e+15","I think is only for show... cos i so far dun c grab driver so kind and helpful... except driver is friends..","878685998950052_879124195572899","positive",2017-08-27 05:01:07,2017-08-27 21:01:07,"2017-8-27",21,0,22,2,0,0,2,0
"11","Forlan Quireoz","4.88e+14","So when grab is going to stop the nonsense of banning drivers below your acceptance rate? You start off as a matching apps between riders and drivers. So now why making riders paying for more surge when you cut off the supply? It doesnt make sense with your action.","878685998950052_878748325610486","negative",2017-08-26 10:54:37,2017-08-27 02:54:37,"2017-8-27",2,0,49,-1.33333333333333,0,3,0,0
"12","Johari Jo","1.93e+15","Macan kenal tapi di mana","878685998950052_879193998899252","neutral",2017-08-27 08:26:15,2017-08-28 00:26:15,"2017-8-28",0,1,5,0,0,0,0,0
"13","Jimmy Tan","1.63e+15","0","878685998950052_879345402217445","neutral",2017-08-27 14:47:45,2017-08-28 06:47:45,"2017-8-28",6,1,0,0,0,0,0,0
"14","Jimmy Tan","1.63e+15","0","878685998950052_879345382217447","neutral",2017-08-27 14:47:43,2017-08-28 06:47:43,"2017-8-28",6,1,0,0,0,0,0,0
"15","Johari Jo","1.93e+15","Amin","878685998950052_879194445565874","positive",2017-08-27 08:28:18,2017-08-28 00:28:18,"2017-8-28",0,1,1,0,0,0,0,0
"16","AidaAsri Aqa Zahary","7.21e+14","Zachary OttosanNew  :) ","878685998950052_878822128936439","positive",2017-08-26 14:51:14,2017-08-27 06:51:14,"2017-8-27",6,0,5,0,0,0,0,0
"17","Ahmed M. Hathoot","1.86e+15","Tara Alexandria Peralta","878685998950052_878827672269218","neutral",2017-08-26 15:06:43,2017-08-27 07:06:43,"2017-8-27",7,0,3,0,0,0,0,0
"18","June Serav","1.02e+16","Hi grab, I just got off and realised u stopped sending the amount of reward points I earned frm the trip. I tried to check history but it doesnt put the reward points earned too. Can u please add that feature so we can keep track?","878369165648402_880367038781948","neutral",2017-08-29 14:07:35,2017-08-30 06:07:35,"2017-8-30",6,3,46,1,0,1,3,0
"19","Kia Lim","9.62e+14","Thanks Grab. I used to own a car but I scraped it 3 months ago. For the past 3 months I have been taking Grab on daily basis, monthly spend $750$800 on grab. My monthly expenditure for my exmy car without installation was already $1000 (petrol $450, ERP and Parking $100 and ave monthly maintenance fee, insurance, road tax $500 ) Now, I have saved a few hundred bucks per month and the only reason I will consider to buy a car again is COE drops below 25k.","878369165648402_880153835469935","positive",2017-08-29 03:40:46,2017-08-29 19:40:46,"2017-8-29",19,2,88,2,0,0,2,0
"20","Germaine Priscilla Png","7.15e+14","I was at orchard gateway n was calling for grab 1st time i was told driver needs to drop a passenger, and she is 9mins. As i am running out of time. I cancel n rebook. This time another 1 also need to drop passenger n is 8mins away. N hold for awhile n see dat driver is moving further n 9mins away. So i decided to cancel. This time a pop up to say i need to pay $5 if i cancel. Den did u asked me if im willing to wait for driver to drop passenger b4 picking me? If this is how u gg to stuff consumer into taking ur ride. Im not taking grab anymore. I nvr took uber as u hv been serving well. Until this drop off passenger thingy. Guess what? I waited 12mins for him to reach and im super late. If u wanna hve this, at least let consumer cancel or ask if we r willingly to wait.","878369165648402_880205335464785","neutral",2017-08-29 06:29:40,2017-08-29 22:29:40,"2017-8-29",22,2,166,-0.363636363636364,0,8,2,0
"21","Francis Soh","1.02e+16","Vivien Chung cheapskate reward for you.. Faster go and redeem your cheapskate reward..","878369165648402_878582655627053","positive",2017-08-26 02:13:52,2017-08-26 18:13:52,"2017-8-26",18,6,13,2,0,0,2,0
"22","Terrence Mah","1.62e+15","she holds the coffee cup like that surely will spill everywhere","878369165648402_878631292288856","neutral",2017-08-26 04:28:18,2017-08-26 20:28:18,"2017-8-26",20,6,11,0,0,0,0,0
"23","Ian Ian","1.72e+14","Hai Nhi Farah Hanisah Azra","878369165648402_878578702294115","neutral",2017-08-26 02:00:40,2017-08-26 18:00:40,"2017-8-26",18,6,5,0,0,0,0,0
"24","Luve Nur","1.02e+16","As per normal Kell Jay and Andrew is the most friendliest grab staffs and bosses.Kudos to Grab ","878175542334431_878838992268086","positive",2017-08-26 15:30:45,2017-08-27 07:30:45,"2017-8-27",7,0,18,0,0,0,0,0
"25","Zhang Yu Ting","2.1e+15","Cheryl Mwp Marie Khau Must aim to give birth in the Grab!","878175542334431_878200438998608","neutral",2017-08-25 10:36:05,2017-08-26 02:36:05,"2017-8-26",2,6,12,0,0,0,0,0
"26","Fareesya Syareezan","1.47e+15","Nur Farhani Zuraini aku nk branak dlm grab la da rase contraction kuat je aku g hosp book grab! Hehehe!","878175542334431_878377305647588","neutral",2017-08-25 18:02:14,2017-08-26 10:02:14,"2017-8-26",10,6,20,0,0,0,0,0
"27","Ting Fang Poh","1.02e+16","Sophie Seetoh Yijia I wish there was grab when i was born.. i need $8000 worth of credits too T_T","878175542334431_878330505652268","positive",2017-08-25 16:10:36,2017-08-26 08:10:36,"2017-8-26",8,6,20,1.5,0,0,2,0
"28","Damsie Yang","1.02e+16","if we want that Grab romper, must give birth in a Grab issit? kekeke..","878175542334431_878206088998043","positive",2017-08-25 10:52:33,2017-08-26 02:52:33,"2017-8-26",2,6,14,1,0,0,1,0
"29","Siling Chen","3.86e+14","So sweet of you guys for this gesture...and the grab romper lol!","878175542334431_878175905667728","positive",2017-08-25 09:42:41,2017-08-26 01:42:41,"2017-8-26",1,6,12,2.5,0,0,2,0
"30","Farhana Adi","1.02e+16","I like how the guy on the left in the grab tshirt embraced the sword thats shuffed into his face lol","878175542334431_878438142308171","positive",2017-08-25 19:04:54,2017-08-26 11:04:54,"2017-8-26",11,6,21,1.5,0,0,1,0
"31","Norazlyza Ismail","1.02e+16","That girl with the foam sword steals the show! Great picture!","878175542334431_878549198963732","positive",2017-08-26 00:30:38,2017-08-26 16:30:38,"2017-8-26",16,6,11,0.5,0,1,1,0
"32","Suzanah Salamat","1.02e+16","All races in 1 picture...i loike...Congrats to Grab & baby's parents","878175542334431_878702652281720","positive",2017-08-26 08:29:36,2017-08-27 00:29:36,"2017-8-27",0,0,11,0,0,0,0,0
"33","Limpeh Troy","1.02e+16","Stupid. Now you see pregnant ladies calling grab instead of ambulance and trying to take detours (oh just have to pick something up in pasir ris before we go to the hospital) to make sure they give birth in the grab.","878175542334431_878302218988430","positive",2017-08-25 15:03:26,2017-08-26 07:03:26,"2017-8-26",7,6,41,-2,0,1,0,0
"34","Gary Chan","1.95e+14","Nothing but advertising gimmicks","878175542334431_878235395661779","negative",2017-08-25 12:00:55,2017-08-26 04:00:55,"2017-8-26",4,6,4,0,0,0,0,0
"35","Jessie Sandhu","1.02e+16","It shd be a lifetime worth of Grab rides!","878175542334431_878283702323615","neutral",2017-08-25 14:06:38,2017-08-26 06:06:38,"2017-8-26",6,6,9,2,0,0,1,0
"36","Lenny Ong","1.41e+15","Encouraging to give birth in grab car.","878175542334431_878180849000567","positive",2017-08-25 09:50:10,2017-08-26 01:50:10,"2017-8-26",1,6,7,0,0,0,0,0
"37","Lingling Koh","1.02e+16","Ling Ang eh got freebies leh lol!","878175542334431_878192552332730","positive",2017-08-25 10:10:01,2017-08-26 02:10:01,"2017-8-26",2,6,7,3,0,0,1,0
"38","Sylvester Goh","4.8e+14","the Grab romper so cute!","878175542334431_878370565648262","positive",2017-08-25 17:45:17,2017-08-26 09:45:17,"2017-8-26",9,6,5,2,0,0,1,0
"39","Nuraziyan Azman","1.65e+15","Ok I also want to give birth at grab car hehe.. $8000 wow..","878175542334431_878207665664552","positive",2017-08-25 10:58:05,2017-08-26 02:58:05,"2017-8-26",2,6,13,2.5,0,0,1,1
"40","Sue Kaur","1.02e+16","Nice gesture! Well done Grab","878175542334431_878584335626885","positive",2017-08-26 02:21:47,2017-08-26 18:21:47,"2017-8-26",18,6,5,3,0,0,1,0
"41","Wee Wee","1.02e+16","Tot is grab for life!!","878175542334431_878181932333792","positive",2017-08-25 09:55:04,2017-08-26 01:55:04,"2017-8-26",1,6,5,0,0,0,0,0
"42","Nurkhafidzah Abdul Karim","1.02e+16","Rezki anak2 Alhamdulillah!","878175542334431_878248628993789","neutral",2017-08-25 12:37:24,2017-08-26 04:37:24,"2017-8-26",4,6,3,0,0,0,0,0
"43","Elvis Quek","1.02e+16","No lifetime free rides for the baby ?","878175542334431_878698458948806","neutral",2017-08-26 08:21:24,2017-08-27 00:21:24,"2017-8-27",0,0,8,1,0,1,1,0
"44","Eva Yanti","1.02e+16","Rezeki baby ahmad.. alhamdulillah","878175542334431_878510865634232","neutral",2017-08-25 23:05:33,2017-08-26 15:05:33,"2017-8-26",15,6,4,0,0,0,0,0
